AsOfDate,OpenDate,CloseDate,ShortName,PortfolioName_x,StrategyRefShortName,Strategy1RefShortName,Strategy2RefShortName,CustodianName_x,DirectionName,SecurityId,SecurityTypeName,SecName,StartQty,Qty,StartPrice,Price_x,StartFXRate,FXRate,MV_Local,MV_Base,PL_DTD,PL_QTD,PL_MTD,PL_YTD,id,RevisionId,AllocationId,TradeTypeName,SecurityType,Name,Ticker,CUSIP,ISIN,Quantity,Price_y,TradeFXRate,Principal,Interest,TotalCash,AllocationQTY,AllocationPrincipal,AllocationInterest,AllocationFees,AllocationCash,PortfolioName_y,CustodianName_y,StrategyName,Strategy1Name,Strategy2Name,Counterparty,AllocationRule,IsCustomAllocation,OpenYear
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,592000.0,592000.0,96.0,96.0,1.33,1.33,568320.0,755865.6,92.504,10833.7294,92.504,41054.5854,4262493,1,3668701,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,UNC Investment Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,592000.0,592000.0,96.0,96.0,1.33,1.33,568320.0,755865.6,92.504,10833.7294,92.504,41054.5854,4262493,1,3668702,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Leatherwood Trust MA,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,592000.0,592000.0,96.0,96.0,1.33,1.33,568320.0,755865.6,92.504,10833.7294,92.504,41054.5854,4262493,1,3668703,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Optimum Holdings Partners,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,592000.0,592000.0,96.0,96.0,1.33,1.33,568320.0,755865.6,92.504,10833.7294,92.504,41054.5854,4262493,1,3668704,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,Redfield Accu-Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,88.0,88.0,96.0,96.0,1.33,1.33,84.48,112.3584,0.0138,1.6104,0.0138,6.1027,4262493,1,3668701,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,UNC Investment Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,88.0,88.0,96.0,96.0,1.33,1.33,84.48,112.3584,0.0138,1.6104,0.0138,6.1027,4262493,1,3668702,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Leatherwood Trust MA,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,88.0,88.0,96.0,96.0,1.33,1.33,84.48,112.3584,0.0138,1.6104,0.0138,6.1027,4262493,1,3668703,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Optimum Holdings Partners,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,88.0,88.0,96.0,96.0,1.33,1.33,84.48,112.3584,0.0138,1.6104,0.0138,6.1027,4262493,1,3668704,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,Redfield Accu-Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,787500.0,787500.0,96.0,96.0,1.33,1.33,756000.0,1005480.0,123.0523,14411.4221,123.0523,54612.3074,4262493,1,3668701,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,UNC Investment Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,787500.0,787500.0,96.0,96.0,1.33,1.33,756000.0,1005480.0,123.0523,14411.4221,123.0523,54612.3074,4262493,1,3668702,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Leatherwood Trust MA,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
